tSNE_Variables_1,tSNE_Variables_2,Neuron,Indegree,Group,Biplot
5.36019089302414,-9.57122828127433,AIYL,206,group3,-0.0710636453918691
5.36033317404254,-9.57132496588496,AIYR,206,group3,-0.0710636453918691
5.21653919116123,-12.9936379376798,AIZL,205,group3,-0.0522077812585787
5.21682228160209,-12.9935548812404,AIZR,205,group3,-0.0522077812585787
11.7608707656029,8.79045459316216,ADAL,131,none,-0.0600173043563646
11.760840271533,8.79034646498827,ADAR,131,none,-0.0600173043563646
8.97928050689137,-19.6345427564339,AIML,204,group3,-0.0527661719709437
8.97927744992183,-19.6343830559393,AIMR,204,group3,-0.0527661719709437
6.31468914486385,5.4667807959054,AINL,150,none,-0.042231978267772
6.31467866190191,5.46640243967947,AINR,150,none,-0.042231978267772
19.2628248056511,-18.2903281883043,ALA,267,group2,0.0336877052824609
17.7381275045149,-11.1485156176951,BDUL,256,group2,0.0405554411246138
17.7380064354119,-11.14848948977,BDUR,256,group2,0.0405554411246138
-27.5693001322252,-2.89696174609955,CANL,143,group1,0.0715001809671599
-27.5693163027864,-2.8970796120684,CANR,143,group1,0.0715001809671599
-12.7736976242608,24.2552094781826,RIPL,62,none,-0.0554820682679078
-12.7736180347879,24.2553905873055,RIPR,62,none,-0.0554820682679078
9.68507686240673,-16.2776370525946,RIAL,199,group3,-0
9.68502429630785,-16.27762304137,RIAR,199,group3,-0
11.7746062841069,-15.5880614358518,RIBL,198,group3,-0.0598714719096004
11.7746062841069,-15.5880614358518,RIBR,198,group3,-0.0598714719096004
12.0912388493612,-20.0456643268734,RICL,198,group3,-0.0531291444817356
11.9695924246528,-20.5451446064864,RICR,198,group3,-0.0531291444817356
0.790196904988749,15.2564689371446,RIFL,64,none,-0.0545980858594665
0.790199585965858,15.2562795356202,RIFR,64,none,-0.0545980858594665
5.33712504542671,-15.5736615903574,RIGL,199,group3,-0.0606069174299963
5.33711449104984,-15.5735666385042,RIGR,199,group3,-0.0606069174299963
9.77925803234228,-23.1818888156588,RIH,208,group3,-0.0645061082868356
9.28033768139961,-14.5046916016071,RIR,191,group3,-0.0588467391440627
