Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"RMED",0,0,0,0,0,0,0,0,0
"RMEL",0,0,0,0,0,0,0,0,0
"RMER",0,0,0,0,0,0,0,0,0
"RMEV",0,0,0,0,0,0,0,0,0
"RMFL",0,0,0,0,0,0,0,0,0
"RMFR",0,0,0,0,0,0,0,0,0
"RMHL",40,0,40,21,0,21,8,0,8
"RMHR",40,0,40,21,0,21,8,0,8
"RIVL",0,0,0,0,0,0,0,0,0
"RIVR",0,0,0,0,0,0,0,0,0
"SMBDL",40,0,40,38,0,38,8,0,8
"SMBDR",40,0,40,38,0,38,8,0,8
"SMBVL",40,0,40,38,0,38,18,0,18
"SMBVR",40,0,40,38,0,38,18,0,18
"SMDDL",0,0,0,0,0,0,0,0,0
"SMDDR",0,0,0,0,0,0,0,0,0
"SMDVL",0,0,0,0,0,0,0,0,0
"SMDVR",0,0,0,0,0,0,0,0,0
"URADL",40,0,40,21,0,21,8,0,8
"URADR",40,0,40,21,0,21,8,0,8
"URAVL",40,0,40,21,0,21,8,0,8
"URAVR",40,0,40,21,0,21,8,0,8
"DA01",0,60,60,0,60,60,0,32,32
"DA02",0,60,60,0,60,60,0,32,32
"DA03",0,60,60,0,60,60,0,32,32
"DA04",0,60,60,0,60,60,0,32,32
"DA05",0,60,60,0,9,9,0,3,3
"DA06",0,60,60,0,9,9,0,3,3
"DA07",0,60,60,0,9,9,0,3,3
"DA08",0,60,60,0,9,9,0,3,3
"DA09",0,60,60,0,9,9,0,3,3
"PDA",0,0,0,0,0,0,0,0,0
"DB01",0,0,0,0,0,0,0,0,0
"DB02",0,0,0,0,0,0,0,0,0
"DB03",0,0,0,0,0,0,0,0,0
"DB04",0,0,0,0,0,0,0,0,0
"DB05",0,0,0,0,0,0,0,0,0
"DB06",0,0,0,0,0,0,0,0,0
"DB07",0,0,0,0,0,0,0,0,0
"AS01",0,0,0,0,0,0,0,0,0
"AS02",0,0,0,0,0,0,0,0,0
"AS03",0,0,0,0,0,0,0,0,0
"AS04",0,0,0,0,0,0,0,0,0
"AS05",0,0,0,0,0,0,0,0,0
"AS06",0,0,0,0,0,0,0,0,0
"AS07",0,0,0,0,0,0,0,0,0
"AS08",0,0,0,0,0,0,0,0,0
"AS09",0,0,0,0,0,0,0,0,0
"AS10",0,0,0,0,0,0,0,0,0
"AS11",0,0,0,0,0,0,0,0,0
"PDB",0,60,60,0,9,9,0,1,1
"DD01",0,0,0,0,0,0,0,0,0
"DD02",0,0,0,0,0,0,0,0,0
"DD03",0,0,0,0,0,0,0,0,0
"DD04",0,0,0,0,0,0,0,0,0
"DD05",0,0,0,0,0,0,0,0,0
"DD06",0,0,0,0,0,0,0,0,0
"VA01",0,60,60,0,60,60,0,32,32
"VA02",0,60,60,0,60,60,0,32,32
"VA03",0,60,60,0,60,60,0,32,32
"VA04",0,60,60,0,60,60,0,32,32
"VA05",0,60,60,0,9,9,0,3,3
"VA06",0,60,60,0,9,9,0,3,3
"VA07",0,60,60,0,9,9,0,3,3
"VA08",0,60,60,0,9,9,0,3,3
"VA09",0,60,60,0,9,9,0,3,3
"VA10",0,60,60,0,9,9,0,3,3
"VA11",0,60,60,0,9,9,0,3,3
"VA12",0,60,60,0,9,9,0,3,3
"VB01",0,0,0,0,0,0,0,0,0
"VB02",0,0,0,0,0,0,0,0,0
"VB03",0,0,0,0,0,0,0,0,0
"VB04",0,0,0,0,0,0,0,0,0
"VB05",0,0,0,0,0,0,0,0,0
"VB06",0,0,0,0,0,0,0,0,0
"VB07",0,0,0,0,0,0,0,0,0
"VB08",0,0,0,0,0,0,0,0,0
"VB09",0,0,0,0,0,0,0,0,0
"VB10",0,0,0,0,0,0,0,0,0
"VB11",0,0,0,0,0,0,0,0,0
"VD01",0,0,0,0,0,0,0,0,0
"VD02",0,0,0,0,0,0,0,0,0
"VD03",0,0,0,0,0,0,0,0,0
"VD04",0,0,0,0,0,0,0,0,0
"VD05",0,0,0,0,0,0,0,0,0
"VD06",0,0,0,0,0,0,0,0,0
"VD07",0,0,0,0,0,0,0,0,0
"VD08",0,0,0,0,0,0,0,0,0
"VD09",0,0,0,0,0,0,0,0,0
"VD10",0,0,0,0,0,0,0,0,0
"VD11",0,0,0,0,0,0,0,0,0
"VD12",0,0,0,0,0,0,0,0,0
"VD13",0,0,0,0,0,0,0,0,0
"HSNL",0,0,0,0,0,0,0,0,0
"HSNR",0,0,0,0,0,0,0,0,0
"VC01",0,60,60,0,60,60,0,32,32
"VC02",0,60,60,0,60,60,0,32,32
"VC03",0,60,60,0,9,9,0,3,3
"VC04",0,0,0,0,0,0,0,0,0
"VC05",0,0,0,0,0,0,0,0,0
"VC06",0,60,60,0,9,9,0,3,3
