Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"AIAR",171,155,326,125,118,243,120,112,232
"AIBL",90,81,171,43,74,117,36,65,101
"AIBR",90,81,171,43,74,117,36,65,101
"AIYL",160,63,223,118,58,176,113,49,162
"AIYR",160,63,223,118,58,176,113,49,162
"AIZL",62,87,149,44,85,129,41,84,125
"AIZR",62,87,149,44,85,129,41,84,125
"ADAL",201,65,266,141,63,204,117,54,171
"ADAR",201,65,266,141,63,204,117,54,171
"AIML",124,108,232,66,71,137,42,47,89
"AIMR",124,108,232,66,71,137,42,47,89
"AINL",79,71,150,58,49,107,52,48,100
"AINR",79,71,150,58,49,107,52,48,100
"ALA",66,118,184,66,118,184,56,86,142
"BDUL",197,63,260,189,61,250,129,43,172
"BDUR",197,63,260,189,61,250,129,43,172
"CANL",58,101,159,20,57,77,3,5,8
"CANR",58,101,159,20,57,77,3,5,8
"RIPL",40,95,135,21,60,81,11,44,55
"RIPR",40,95,135,21,60,81,11,44,55
"RIAL",0,15,15,0,15,15,0,15,15
"RIAR",0,15,15,0,15,15,0,15,15
"RIBL",114,104,218,66,69,135,62,63,125
"RIBR",114,104,218,66,69,135,62,63,125
"RICL",117,23,140,64,21,85,61,20,81
"RICR",117,23,140,64,21,85,61,20,81
"RIFL",52,40,92,43,38,81,38,38,76
"RIFR",52,40,92,43,38,81,38,38,76
"RIGL",0,129,129,0,106,106,0,93,93
"RIGR",0,129,129,0,106,106,0,93,93
"RIH",99,151,250,62,111,173,44,80,124
"RIR",52,111,163,31,74,105,18,52,70
"RIS",115,99,214,67,63,130,63,60,123
"RMGL",58,48,106,37,28,65,34,28,62
"RMGR",58,48,106,37,28,65,34,28,62
"AVFL",12,49,61,12,49,61,12,49,61
"AVFR",12,49,61,12,49,61,12,49,61
"AVG",22,20,42,22,20,42,17,16,33
"AVHL",167,32,199,167,32,199,161,32,193
"AVHR",167,32,199,167,32,199,161,32,193
"AVJL",0,40,40,0,40,40,0,32,32
"AVJR",0,40,40,0,40,40,0,32,32
"AVKL",131,8,139,131,8,139,127,8,135
"AVKR",131,8,139,131,8,139,127,8,135
"AVL",0,16,16,0,16,16,0,16,16
"DVB",17,18,35,1,4,5,1,4,5
"DVC",99,94,193,99,94,193,94,88,182
"PVNL",77,137,214,77,137,214,72,127,199
"PVNR",77,137,214,77,137,214,72,127,199
"PVPL",35,96,131,35,96,131,33,90,123
"PVPR",35,96,131,35,96,131,33,90,123
"PVQL",218,111,329,218,111,329,210,104,314
"PVQR",218,111,329,218,111,329,210,104,314
"PVR",180,17,197,180,17,197,174,17,191
"PVT",208,90,298,208,90,298,200,81,281
"PVWL",82,125,207,50,74,124,36,61,97
"PVWR",82,125,207,50,74,124,36,61,97
"RID",183,63,246,175,63,238,147,50,197
"PVCL",35,63,98,35,63,98,33,54,87
"PVCR",35,63,98,35,63,98,33,54,87
"AVAL",100,106,206,96,104,200,90,94,184
"AVAR",100,106,206,96,104,200,90,94,184
"AVBL",0,63,63,0,61,61,0,51,51
"AVBR",0,63,63,0,61,61,0,51,51
"AVDL",82,96,178,80,94,174,76,81,157
"AVDR",82,96,178,80,94,174,76,81,157
"AVEL",63,15,78,63,15,78,58,15,73
"AVER",63,15,78,63,15,78,58,15,73
"LUAL",0,156,156,0,24,24,0,21,21
"LUAR",0,156,156,0,24,24,0,21,21
"SAADL",49,15,64,46,15,61,44,15,59
"SAADR",49,15,64,46,15,61,44,15,59
"SAAVL",49,15,64,49,15,64,44,15,59
"SAAVR",49,15,64,49,15,64,44,15,59
"SABD",75,24,99,53,24,77,23,12,35
"SABVL",75,24,99,53,24,77,23,12,35
"SABVR",75,24,99,53,24,77,23,12,35
"RIML",126,86,212,77,61,138,70,60,130
"RIMR",126,86,212,77,61,138,70,60,130
"IL1DL",0,0,0,0,0,0,0,0,0
"IL1DR",0,0,0,0,0,0,0,0,0
"IL1L",0,0,0,0,0,0,0,0,0
"IL1R",0,0,0,0,0,0,0,0,0
"IL1VL",0,0,0,0,0,0,0,0,0
"IL1VR",0,0,0,0,0,0,0,0,0
"SIADL",0,4,4,0,2,2,0,2,2
"SIADR",0,4,4,0,2,2,0,2,2
"SIAVL",0,4,4,0,2,2,0,2,2
"SIAVR",0,4,4,0,2,2,0,2,2
"SIBDL",0,73,73,0,73,73,0,57,57
"SIBDR",0,73,73,0,73,73,0,57,57
"SIBVL",0,73,73,0,73,73,0,56,56
"SIBVR",0,73,73,0,73,73,0,56,56
"RMDDL",62,15,77,44,15,59,41,15,56
"RMDDR",62,15,77,44,15,59,41,15,56
"RMDL",48,141,189,45,91,136,43,68,111
"RMDR",48,141,189,45,91,136,43,68,111
"RMDVL",62,15,77,44,15,59,39,15,54
"RMDVR",62,15,77,44,15,59,39,15,54
"RMED",0,18,18,0,18,18,0,18,18
"RMEL",0,0,0,0,0,0,0,0,0
"RMER",0,0,0,0,0,0,0,0,0
"RMEV",0,18,18,0,18,18,0,18,18
"RMFL",40,7,47,38,7,45,34,7,41
"RMFR",40,7,47,38,7,45,34,7,41
"RMHL",139,55,194,85,33,118,59,28,87
"RMHR",139,55,194,85,33,118,59,28,87
"RIVL",112,21,133,87,19,106,78,19,97
"RIVR",112,21,133,87,19,106,78,19,97
"SMBDL",93,39,132,91,39,130,18,39,57
"SMBDR",93,39,132,91,39,130,18,39,57
"SMBVL",93,39,132,91,39,130,33,39,72
"SMBVR",93,39,132,91,39,130,33,39,72
"SMDDL",99,120,219,97,120,217,71,61,132
"SMDDR",99,120,219,97,120,217,71,61,132
"SMDVL",99,120,219,97,120,217,73,77,150
"SMDVR",99,120,219,97,120,217,73,77,150
"URADL",53,0,53,32,0,32,19,0,19
"URADR",53,0,53,32,0,32,19,0,19
"URAVL",53,0,53,32,0,32,19,0,19
"URAVR",53,0,53,32,0,32,19,0,19
"DA01",62,93,155,60,93,153,34,54,88
"DA02",62,93,155,60,93,153,34,54,88
"DA03",62,93,155,60,93,153,34,54,88
"DA04",62,93,155,60,93,153,34,54,88
"DA05",62,93,155,30,20,50,26,12,38
"DA06",62,93,155,30,20,50,26,12,38
"DA07",62,93,155,30,20,50,26,12,38
"DA08",62,93,155,34,20,54,28,12,40
"DA09",62,131,193,34,53,87,28,45,73
"PDA",83,58,141,51,31,82,19,13,32
"DB01",15,150,165,15,148,163,11,109,120
"DB02",15,136,151,15,136,151,7,68,75
"DB03",15,136,151,7,80,87,7,68,75
"DB04",15,136,151,7,80,87,7,68,75
"DB05",15,136,151,7,80,87,7,68,75
"DB06",15,136,151,7,80,87,7,68,75
"DB07",15,136,151,7,80,87,7,68,75
"AS01",15,0,15,15,0,15,11,0,11
"AS02",15,0,15,15,0,15,11,0,11
"AS03",15,0,15,7,0,7,7,0,7
"AS04",15,0,15,7,0,7,7,0,7
"AS05",15,0,15,7,0,7,7,0,7
"AS06",15,0,15,7,0,7,7,0,7
"AS07",15,0,15,7,0,7,7,0,7
"AS08",15,0,15,7,0,7,7,0,7
"AS09",15,0,15,7,0,7,7,0,7
"AS10",15,0,15,7,0,7,7,0,7
"AS11",15,0,15,7,0,7,7,0,7
"PDB",0,86,86,0,17,17,0,7,7
"DD01",62,42,104,60,42,102,34,21,55
"DD02",62,42,104,30,14,44,26,6,32
"DD03",62,42,104,30,14,44,26,6,32
"DD04",62,42,104,30,14,44,26,6,32
"DD05",62,42,104,30,14,44,26,6,32
"DD06",62,42,104,34,14,48,28,6,34
"VA01",93,101,194,89,101,190,53,56,109
"VA02",93,101,194,89,101,190,53,56,109
"VA03",93,101,194,89,101,190,53,56,109
"VA04",93,101,194,89,101,190,53,56,109
